event_type,src_ip_type,dst_port,protocol,alert_severity,alert_signature,failed_attempts,session_duration,bytes_sent,is_cloud_asset,label
cloud,internal,5432,udp,low,normal,2,134,8897,0,0
cloud,internal,22,tcp,high,bruteforce,12,204,4443,0,1
cloud,internal,8080,tcp,low,normal,2,10,3275,1,0
firewall,internal,8080,tcp,medium,normal,1,282,4364,0,0
ids,internal,443,udp,low,normal,2,180,5861,0,0
auth,internal,80,tcp,low,normal,0,154,101,0,0
firewall,internal,80,udp,low,normal,1,201,912,1,0
ids,internal,443,tcp,medium,normal,1,223,9118,0,0
firewall,internal,80,tcp,high,normal,1,39,3454,1,1
ids,external,21,tcp,medium,normal,3,845,4152,1,1
cloud,internal,3389,udp,high,normal,3,245,8167,0,1
ids,external,53,tcp,high,normal,1,607,1086,0,1
auth,internal,3389,udp,medium,malware,4,725,12681,1,1
firewall,internal,22,tcp,low,normal,1,194,6478,1,0
firewall,internal,443,udp,medium,normal,3,716,712,0,0
firewall,external,21,tcp,low,normal,6,0,2250,1,1
ids,external,25,tcp,low,normal,2,95,17975,1,1
cloud,internal,25,tcp,low,normal,2,56,461,0,0
auth,internal,5432,tcp,high,bruteforce,11,431,3691,0,1
cloud,external,22,tcp,medium,malware,4,74,4314,0,1
cloud,internal,80,tcp,low,normal,3,274,927,1,0
firewall,external,8080,tcp,low,normal,0,144,3190,0,0
cloud,internal,25,tcp,medium,port_scan,2,189,4288,1,1
ids,external,5432,tcp,low,normal,4,530,1461,1,0
ids,internal,3389,tcp,medium,normal,2,109,5540,0,0
ids,internal,3389,udp,low,normal,5,242,1732,0,0
firewall,external,8080,udp,low,normal,7,229,1572,0,0
firewall,internal,8080,udp,medium,bruteforce,28,210,8398,0,1
ids,internal,80,tcp,low,normal,1,355,728,0,0
cloud,internal,3389,tcp,low,normal,3,719,1848,0,0
firewall,internal,21,tcp,high,normal,2,462,7724,0,1
ids,internal,53,tcp,low,normal,0,398,5601,0,0
firewall,external,443,tcp,medium,normal,1,111,9928,1,1
ids,external,5432,tcp,low,normal,3,573,3313,0,0
cloud,internal,25,tcp,high,normal,2,54,3450,0,1
ids,external,21,udp,medium,normal,2,457,5465,0,1
cloud,internal,22,tcp,high,bruteforce,27,176,572,0,1
auth,internal,53,udp,low,normal,3,328,2274,0,0
ids,internal,21,tcp,high,normal,2,206,7415,0,1
ids,external,80,tcp,high,port_scan,2,73,19576,1,1
cloud,external,5432,tcp,low,normal,2,192,302,0,0
auth,internal,25,tcp,high,port_scan,0,261,4586,0,1
auth,internal,5432,tcp,high,bruteforce,25,630,2729,0,1
auth,internal,25,tcp,high,bruteforce,20,3,6327,0,1
ids,internal,25,udp,low,normal,2,194,22199,1,0
firewall,internal,53,udp,high,normal,2,790,537,0,1
ids,internal,25,tcp,low,normal,1,189,4434,1,0
cloud,external,443,tcp,high,normal,1,176,791,0,1
auth,external,3306,tcp,low,normal,1,121,8107,0,0
firewall,internal,8080,udp,low,normal,0,611,13891,1,0
ids,internal,80,tcp,high,port_scan,3,109,316,0,1
firewall,external,25,udp,low,normal,3,92,16956,0,1
firewall,external,8080,tcp,low,normal,2,507,2215,1,0
auth,internal,25,udp,low,normal,2,355,274,1,0
auth,internal,80,tcp,high,malware,2,158,4227,0,1
cloud,external,3306,tcp,medium,normal,2,507,6601,0,0
firewall,external,21,tcp,low,normal,2,389,307,0,1
ids,internal,3306,tcp,low,normal,3,69,4133,0,0
auth,internal,5432,udp,high,malware,1,307,2040,1,1
auth,internal,80,tcp,high,normal,3,361,3832,0,1
firewall,internal,3306,udp,medium,normal,2,476,415,1,0
auth,external,443,tcp,high,port_scan,2,645,84,0,1
firewall,internal,8080,udp,low,normal,2,28,7617,1,0
firewall,external,8080,tcp,medium,normal,3,76,2289,1,0
firewall,internal,25,tcp,low,normal,1,1875,2574,1,0
ids,internal,80,tcp,low,normal,1,1354,10048,0,0
ids,external,5432,udp,medium,normal,5,327,4651,1,0
ids,external,23,tcp,medium,port_scan,1,392,6203,0,1
auth,external,443,tcp,high,bruteforce,25,442,11755,0,1
firewall,internal,3306,tcp,low,normal,1,182,5315,0,0
firewall,internal,80,udp,medium,port_scan,0,202,3301,1,1
cloud,external,21,udp,low,normal,0,33,10588,0,1
ids,external,80,tcp,high,port_scan,4,1603,554,0,1
firewall,external,80,tcp,high,port_scan,0,1084,8422,0,1
auth,internal,5432,tcp,high,bruteforce,18,71,3855,1,1
ids,internal,25,udp,high,malware,1,29,9948,0,1
ids,internal,21,tcp,medium,malware,3,121,23991,1,1
ids,external,3389,udp,high,normal,1,913,9602,0,1
ids,external,5432,tcp,high,normal,2,67,5419,0,1
cloud,internal,5432,udp,medium,normal,1,240,2540,0,0
cloud,internal,80,udp,high,malware,2,6,43425,1,1
auth,internal,443,tcp,medium,normal,1,131,9232,0,0
cloud,internal,3306,tcp,medium,normal,3,459,2804,1,0
cloud,internal,3389,tcp,low,normal,3,200,8197,1,0
ids,external,53,tcp,low,normal,2,111,13263,0,1
cloud,internal,3306,tcp,low,normal,3,38,1062,0,0
firewall,internal,25,udp,medium,normal,2,954,2201,0,0
cloud,internal,53,tcp,low,normal,3,155,1729,0,0
cloud,external,23,tcp,medium,port_scan,2,413,6018,0,1
firewall,internal,25,tcp,high,malware,1,39,4815,0,1
ids,external,5432,tcp,high,normal,5,49,1024,0,1
ids,external,25,tcp,low,normal,3,582,6376,1,1
firewall,internal,22,tcp,high,normal,2,368,22995,1,1
cloud,internal,80,tcp,medium,bruteforce,22,173,6396,0,1
cloud,external,53,udp,low,normal,6,234,3966,1,1
ids,internal,3306,tcp,medium,normal,3,244,2091,0,0
firewall,internal,53,tcp,high,normal,2,235,2345,0,1
firewall,external,25,tcp,low,normal,1,91,15589,1,1
ids,external,443,tcp,low,normal,2,477,4426,0,1
ids,internal,5432,udp,medium,normal,1,136,13279,0,0
firewall,internal,80,tcp,low,normal,1,855,13686,1,0
cloud,external,53,tcp,low,normal,1,1805,1703,0,1
firewall,internal,22,tcp,medium,bruteforce,18,531,16179,0,1
firewall,internal,25,tcp,low,normal,1,26,566,0,0
auth,internal,53,tcp,low,normal,1,444,8379,1,0
firewall,internal,5432,tcp,medium,malware,0,1,918,0,1
cloud,external,8080,tcp,high,normal,3,1,4222,1,1
cloud,external,3306,tcp,low,normal,2,15,932,1,0
ids,external,21,tcp,high,port_scan,3,226,1739,1,1
firewall,external,3306,udp,low,normal,1,431,4401,0,0
firewall,internal,5432,tcp,medium,normal,1,60,164,0,0
ids,internal,80,tcp,high,port_scan,2,228,757,0,1
ids,internal,22,udp,high,bruteforce,33,270,2059,0,1
auth,internal,25,tcp,low,normal,2,97,3242,1,0
firewall,internal,53,tcp,low,normal,0,1035,1078,0,0
ids,internal,22,tcp,medium,port_scan,1,448,3074,0,1
ids,internal,5432,udp,medium,normal,3,159,3307,0,0
cloud,internal,3389,udp,medium,malware,2,1443,6216,0,1
ids,internal,3306,tcp,low,normal,5,817,449,0,0
ids,internal,443,udp,low,normal,0,38,13534,0,0
firewall,internal,53,tcp,medium,normal,1,460,9862,0,0
cloud,internal,25,tcp,medium,port_scan,4,452,1355,1,1
ids,internal,22,tcp,medium,port_scan,2,126,17253,1,1
auth,external,443,tcp,low,normal,0,50,2831,0,1
auth,external,53,tcp,medium,malware,0,127,21729,1,1
ids,internal,25,tcp,medium,bruteforce,13,253,8437,0,1
auth,external,22,tcp,medium,port_scan,1,583,9857,1,1
firewall,external,3306,udp,high,normal,5,418,4725,1,1
auth,internal,8080,tcp,high,malware,3,53,8739,0,1
auth,internal,8080,tcp,medium,normal,1,152,5382,0,0
firewall,external,3306,tcp,medium,normal,6,426,1972,1,0
ids,external,443,udp,high,bruteforce,35,241,5288,0,1
cloud,internal,8080,tcp,medium,normal,2,400,2289,0,0
firewall,external,80,tcp,medium,port_scan,4,51,1835,0,1
ids,internal,22,tcp,low,normal,2,224,1340,0,0
ids,internal,25,tcp,high,port_scan,2,184,2616,1,1
firewall,internal,53,tcp,low,normal,3,237,4764,0,0
auth,internal,53,tcp,high,port_scan,1,186,9128,0,1
ids,internal,25,tcp,high,bruteforce,27,126,2805,0,1
firewall,external,5432,tcp,low,normal,2,171,11749,1,0
ids,internal,8080,tcp,low,normal,2,504,8540,1,0
auth,internal,22,tcp,medium,normal,2,296,932,0,0
ids,internal,3389,tcp,low,normal,1,98,8029,1,0
auth,internal,5432,tcp,medium,normal,3,80,81,1,0
firewall,external,53,udp,medium,bruteforce,29,64,1848,0,1
cloud,internal,22,tcp,high,normal,3,704,1501,1,1
ids,internal,21,tcp,medium,malware,2,194,19527,0,1
firewall,internal,3389,tcp,low,normal,1,61,12335,0,0
ids,internal,5432,udp,medium,normal,0,387,14491,0,0
cloud,internal,22,tcp,high,normal,2,229,2142,0,1
cloud,internal,443,tcp,low,normal,2,263,857,1,0
ids,internal,53,udp,high,normal,1,454,3030,0,1
auth,internal,25,tcp,high,normal,2,40,6678,1,1
cloud,external,3389,tcp,medium,normal,2,168,8782,0,0
firewall,internal,3306,tcp,low,normal,0,215,9568,1,0
firewall,internal,80,tcp,medium,port_scan,3,617,4629,1,1
ids,external,23,tcp,high,port_scan,2,27,6246,0,1
ids,external,3389,tcp,medium,normal,1,590,7922,0,0
cloud,internal,5432,tcp,low,normal,2,375,1002,0,0
cloud,external,443,tcp,high,malware,3,73,28785,1,1
auth,external,443,tcp,low,normal,3,162,3892,0,1
firewall,internal,25,tcp,high,normal,1,102,1499,0,1
firewall,internal,25,tcp,low,normal,3,40,1891,1,0
auth,internal,80,tcp,medium,malware,1,338,9267,0,1
cloud,internal,3389,tcp,low,normal,1,6,2865,0,0
cloud,internal,443,tcp,medium,normal,1,387,8988,0,0
auth,internal,21,tcp,low,normal,1,187,6835,0,0
auth,external,25,tcp,high,normal,1,538,6063,0,1
ids,internal,80,tcp,low,normal,2,62,7572,0,0
ids,internal,3389,tcp,high,normal,1,86,6627,0,1
cloud,internal,443,udp,high,malware,1,373,3276,0,1
auth,external,5432,tcp,medium,normal,2,537,1077,0,0
ids,external,25,tcp,low,normal,5,53,4237,1,1
ids,internal,3389,tcp,low,normal,2,4,4719,0,0
auth,internal,80,tcp,low,normal,3,1028,1640,0,0
ids,internal,21,udp,high,port_scan,3,605,6671,0,1
ids,external,53,tcp,medium,normal,3,409,5553,0,1
firewall,internal,443,tcp,low,normal,2,45,1961,0,0
auth,internal,21,tcp,high,normal,1,62,4349,1,1
auth,internal,3389,udp,high,malware,3,319,6606,0,1
ids,external,21,tcp,medium,normal,1,355,349,0,1
auth,internal,3389,udp,low,normal,2,294,10183,1,0
ids,external,8080,tcp,low,normal,0,533,13990,0,0
firewall,internal,21,tcp,medium,normal,1,78,10279,0,0
auth,internal,22,tcp,high,port_scan,4,578,4730,1,1
auth,internal,3389,tcp,low,normal,3,5,8519,0,0
cloud,external,25,tcp,low,normal,2,55,6658,1,1
auth,external,3389,tcp,low,normal,1,307,4635,1,0
firewall,external,22,udp,high,bruteforce,35,63,4161,0,1
ids,external,21,tcp,low,normal,3,76,3351,0,1
firewall,external,80,tcp,low,normal,5,185,2115,0,1
ids,external,3306,tcp,medium,normal,3,230,1008,0,0
ids,internal,22,tcp,medium,normal,0,545,946,0,0
cloud,external,80,tcp,low,normal,0,937,678,1,1
firewall,external,443,tcp,medium,normal,2,7,2659,1,1
cloud,internal,25,tcp,low,normal,0,20,3231,0,0
auth,external,80,tcp,high,normal,1,21,2130,0,1
auth,internal,21,tcp,low,normal,0,1110,2990,1,0
firewall,internal,8080,tcp,low,normal,1,398,1339,0,0
firewall,internal,25,tcp,medium,normal,3,208,1159,1,0
firewall,internal,80,tcp,low,normal,1,367,5172,1,0
ids,internal,22,udp,low,normal,2,266,109,0,0
auth,external,80,tcp,medium,normal,2,419,4203,0,1
ids,internal,22,tcp,medium,normal,1,77,3445,1,0
ids,internal,3306,tcp,medium,bruteforce,33,747,4407,0,1
auth,external,21,tcp,low,normal,2,441,6685,1,1
ids,internal,443,udp,low,normal,4,271,2292,0,0
cloud,internal,3306,udp,high,bruteforce,25,14,1281,1,1
cloud,internal,25,tcp,low,normal,2,90,6138,0,0
cloud,internal,443,tcp,high,normal,3,415,4060,0,1
firewall,internal,22,tcp,high,normal,1,42,2060,0,1
ids,external,3389,tcp,medium,malware,0,14,15771,1,1
cloud,internal,21,tcp,medium,normal,2,227,2760,0,0
firewall,internal,80,tcp,medium,normal,3,96,910,0,0
cloud,external,80,tcp,low,normal,5,721,826,0,1
cloud,external,22,tcp,medium,bruteforce,16,92,9351,0,1
cloud,internal,3389,tcp,high,normal,2,209,2482,0,1
ids,internal,53,tcp,low,normal,0,355,4943,0,0
firewall,external,53,tcp,medium,normal,3,105,2365,0,1
cloud,external,3389,udp,low,normal,1,372,1498,1,0
firewall,external,5432,udp,low,normal,5,230,4028,1,0
ids,internal,80,tcp,high,port_scan,0,161,9554,0,1
firewall,internal,25,tcp,medium,port_scan,4,647,7559,0,1
cloud,internal,22,udp,high,bruteforce,23,994,554,1,1
auth,external,443,tcp,medium,normal,3,303,6547,0,1
firewall,external,5432,tcp,low,normal,3,114,3,0,0
ids,internal,21,tcp,medium,normal,5,758,2073,0,0
auth,internal,5432,tcp,medium,bruteforce,22,227,17235,1,1
cloud,external,23,tcp,medium,port_scan,4,418,3458,0,1
ids,internal,8080,tcp,high,normal,2,9,5940,0,1
firewall,internal,80,tcp,high,port_scan,1,264,733,0,1
cloud,external,21,tcp,low,normal,1,9,494,0,1
auth,internal,21,tcp,low,normal,1,595,3334,0,0
auth,internal,80,tcp,high,bruteforce,35,546,6889,1,1
auth,internal,25,udp,medium,port_scan,1,222,12976,0,1
firewall,internal,53,tcp,high,normal,4,473,2580,0,1
ids,internal,3306,tcp,medium,normal,3,55,8773,0,0
cloud,external,22,tcp,high,normal,2,249,2086,0,1
cloud,internal,5432,tcp,medium,normal,2,209,13094,0,0
cloud,external,3306,tcp,medium,normal,2,294,9123,0,0
cloud,internal,25,tcp,high,malware,2,681,3357,1,1
firewall,internal,8080,udp,high,normal,0,91,3360,0,1
firewall,external,80,tcp,low,normal,1,201,10132,0,1
auth,internal,5432,tcp,low,normal,1,310,6367,0,0
auth,internal,25,tcp,low,normal,5,105,11990,0,0
auth,internal,3306,tcp,medium,malware,2,293,14943,0,1
auth,internal,3306,udp,medium,bruteforce,38,417,384,1,1
cloud,internal,8080,tcp,medium,normal,6,58,3661,1,0
firewall,external,25,tcp,high,bruteforce,27,549,2640,0,1
firewall,internal,25,tcp,medium,normal,2,633,128,0,0
ids,external,5432,tcp,low,normal,0,181,874,1,0
firewall,internal,22,tcp,medium,port_scan,0,1096,6577,0,1
ids,internal,25,tcp,low,normal,1,211,3787,0,0
firewall,internal,443,tcp,medium,malware,3,151,6570,0,1
firewall,internal,21,tcp,low,normal,0,165,13073,0,0
ids,internal,3306,udp,low,normal,1,142,964,0,0
firewall,external,21,tcp,high,bruteforce,28,291,1157,0,1
ids,internal,5432,tcp,low,normal,3,16,2333,1,0
ids,internal,8080,tcp,low,normal,5,107,5371,0,0
cloud,external,5432,tcp,high,normal,5,614,2821,1,1
firewall,internal,53,tcp,high,normal,2,42,12973,0,1
ids,internal,53,tcp,low,normal,2,340,1797,1,0
firewall,internal,80,tcp,low,normal,0,402,1042,0,0
auth,internal,22,tcp,medium,normal,3,495,5266,0,0
ids,internal,53,tcp,medium,normal,2,5,19411,0,0
auth,internal,443,tcp,low,normal,0,788,1613,0,0
ids,internal,23,udp,medium,port_scan,3,323,22298,0,1
ids,external,21,tcp,low,normal,0,1013,2402,0,1
firewall,external,25,udp,low,normal,2,907,8695,1,1
firewall,external,53,tcp,low,normal,0,983,4463,1,1
auth,internal,25,tcp,low,normal,2,205,25,1,0
auth,internal,3306,tcp,high,normal,1,1001,18893,0,1
cloud,internal,443,tcp,low,normal,2,130,3895,0,0
firewall,internal,80,tcp,high,bruteforce,23,515,2195,0,1
firewall,internal,80,tcp,low,normal,4,525,5170,0,0
auth,internal,21,tcp,high,normal,2,86,4314,0,1
ids,internal,25,tcp,high,port_scan,0,668,2091,1,1
firewall,external,21,udp,medium,normal,1,218,1457,1,1
ids,internal,80,tcp,medium,normal,3,17,323,1,0
ids,external,3389,tcp,medium,normal,2,321,10771,0,0
cloud,external,25,udp,low,normal,1,75,2003,0,1
cloud,internal,8080,tcp,medium,normal,2,86,4468,0,0
auth,internal,80,tcp,medium,normal,1,619,4864,0,0
firewall,internal,5432,tcp,low,normal,0,231,7904,0,0
ids,external,25,tcp,high,malware,2,663,44193,0,1
ids,internal,25,tcp,low,normal,1,420,5123,0,0
ids,internal,25,tcp,low,normal,4,227,10088,0,0
firewall,internal,25,tcp,medium,normal,1,174,3659,1,0
auth,internal,53,udp,medium,malware,1,289,723,1,1
auth,external,5432,tcp,low,normal,2,720,7022,0,0
ids,internal,22,tcp,medium,bruteforce,25,71,3538,0,1
cloud,internal,25,tcp,high,normal,1,207,2511,0,1
auth,internal,5432,tcp,medium,normal,2,1361,1192,0,0
firewall,external,5432,tcp,high,malware,0,243,10140,0,1
auth,internal,80,tcp,low,normal,2,102,6404,0,0
firewall,external,8080,tcp,low,normal,7,0,4806,1,0
ids,external,8080,tcp,medium,bruteforce,44,474,205,1,1
firewall,external,3306,udp,medium,bruteforce,19,184,13829,0,1
auth,internal,3306,tcp,low,normal,2,27,1073,1,0
ids,internal,443,tcp,medium,normal,2,54,7338,1,0
ids,internal,5432,udp,medium,normal,3,71,14308,0,0
ids,internal,3389,tcp,low,normal,3,397,3629,1,0
ids,internal,22,tcp,high,port_scan,1,870,1504,1,1
cloud,internal,25,udp,low,normal,4,131,2373,0,0
auth,internal,25,tcp,medium,malware,2,112,4404,0,1
firewall,external,21,udp,medium,normal,3,746,243,0,1
ids,internal,8080,tcp,medium,bruteforce,28,69,1595,0,1
firewall,internal,3389,tcp,low,normal,1,213,1020,0,0
firewall,external,22,tcp,high,port_scan,2,304,7744,0,1
ids,internal,443,tcp,medium,malware,3,777,4095,1,1
firewall,external,5432,tcp,low,normal,2,8,7719,0,0
firewall,internal,5432,udp,medium,normal,4,498,2722,0,0
auth,external,23,tcp,medium,port_scan,3,193,3879,0,1
auth,external,22,tcp,medium,malware,2,112,6810,0,1
ids,internal,8080,udp,low,normal,2,145,15105,0,0
firewall,external,21,tcp,low,normal,4,415,1847,0,1
auth,internal,22,udp,low,normal,1,126,13796,1,0
firewall,internal,3306,udp,low,normal,3,337,2151,0,0
cloud,external,8080,udp,medium,bruteforce,36,40,169,1,1
auth,external,3306,tcp,high,normal,2,51,6098,1,1
ids,internal,80,tcp,high,bruteforce,41,34,7412,0,1
ids,internal,25,tcp,medium,normal,1,392,48,1,0
auth,external,8080,udp,high,malware,4,585,8478,0,1
ids,internal,53,tcp,high,normal,1,113,8158,1,1
firewall,external,22,udp,low,normal,7,265,6319,0,1
cloud,external,3306,udp,medium,normal,2,686,3,0,0
firewall,internal,53,tcp,high,bruteforce,21,163,3343,1,1
firewall,internal,21,udp,low,normal,2,216,2580,0,0
auth,internal,5432,tcp,high,bruteforce,17,686,1918,1,1
firewall,external,25,tcp,low,normal,1,109,6579,0,1
firewall,external,22,tcp,high,port_scan,2,358,5034,0,1
cloud,internal,3306,udp,medium,normal,0,287,203,1,0
firewall,internal,443,tcp,high,normal,1,54,851,0,1
cloud,external,53,tcp,low,normal,4,411,2735,0,1
cloud,internal,22,udp,high,normal,3,132,8912,0,1
ids,external,21,tcp,high,normal,2,24,35,0,1
ids,internal,53,tcp,high,port_scan,2,86,873,0,1
ids,external,25,tcp,high,normal,1,316,292,0,1
ids,external,21,tcp,low,normal,5,300,2732,1,1
ids,internal,443,tcp,low,normal,1,111,4041,1,0
auth,external,53,udp,high,normal,2,311,1973,1,1
ids,internal,22,udp,low,normal,2,574,6213,0,0
firewall,internal,3306,udp,low,normal,1,58,3955,0,0
cloud,internal,3306,tcp,low,normal,2,214,6636,1,0
ids,external,80,tcp,low,normal,0,171,4571,1,1
cloud,external,21,tcp,high,port_scan,2,8,4228,0,1
ids,external,25,tcp,medium,port_scan,2,363,1811,0,1
ids,external,3389,tcp,medium,bruteforce,22,12,2995,0,1
auth,internal,443,tcp,high,malware,1,575,6345,0,1
auth,internal,53,udp,medium,port_scan,3,166,819,1,1
cloud,internal,25,tcp,medium,normal,1,136,2799,1,0
auth,external,25,tcp,low,normal,1,115,14136,0,1
cloud,external,5432,tcp,low,normal,3,137,985,0,0
ids,internal,25,tcp,high,normal,5,1183,13798,1,1
ids,external,5432,udp,high,malware,4,1172,7680,1,1
auth,internal,22,tcp,medium,port_scan,1,87,1108,0,1
cloud,internal,22,tcp,medium,normal,2,264,6122,1,0
cloud,internal,3306,tcp,medium,normal,1,223,8374,1,0
firewall,external,3306,tcp,high,malware,1,109,38967,0,1
firewall,internal,53,tcp,low,normal,5,602,3476,1,0
auth,external,21,udp,low,normal,1,208,6330,1,1
firewall,internal,3389,tcp,medium,malware,3,77,7101,0,1
cloud,internal,3389,udp,low,normal,4,574,3207,0,0
cloud,internal,443,tcp,medium,normal,1,19,10180,1,0
firewall,external,8080,tcp,high,bruteforce,16,261,7463,0,1
auth,internal,25,tcp,low,normal,3,91,7508,0,0
auth,external,21,tcp,low,normal,4,131,753,0,1
ids,internal,5432,tcp,medium,normal,2,63,149,0,0
cloud,internal,22,tcp,medium,normal,2,264,1426,1,0
firewall,external,25,tcp,low,normal,2,129,423,0,1
cloud,internal,8080,udp,low,normal,4,81,932,0,0
firewall,external,8080,tcp,low,normal,4,12,1513,0,0
cloud,internal,3389,tcp,high,malware,2,811,23430,0,1
firewall,external,21,tcp,low,normal,4,743,5418,0,1
ids,external,25,tcp,low,normal,0,1129,15227,0,1
cloud,external,3389,tcp,low,normal,5,478,365,0,0
ids,internal,443,tcp,high,port_scan,2,391,12973,0,1
firewall,external,3306,tcp,high,malware,4,1232,12330,0,1
cloud,internal,443,tcp,low,normal,3,212,761,0,0
cloud,internal,443,tcp,high,port_scan,1,249,5078,0,1
firewall,internal,21,tcp,medium,port_scan,1,193,867,1,1
auth,internal,3306,udp,low,normal,0,182,9939,0,0
firewall,external,80,tcp,high,bruteforce,34,166,1426,0,1
ids,external,53,tcp,high,bruteforce,26,137,14556,0,1
firewall,internal,3306,tcp,low,normal,2,69,477,0,0
auth,external,5432,tcp,low,normal,0,333,858,1,0
auth,internal,21,tcp,high,normal,0,165,874,0,1
auth,external,5432,tcp,low,normal,2,40,8962,0,0
auth,external,53,tcp,low,normal,1,53,1281,0,1
ids,external,443,tcp,medium,normal,2,432,10175,0,1
firewall,internal,443,tcp,high,bruteforce,34,1051,2081,0,1
ids,external,5432,tcp,high,normal,3,872,2160,0,1
firewall,internal,80,tcp,low,normal,5,305,2017,0,0
firewall,external,5432,tcp,low,normal,0,2,10967,1,0
cloud,internal,3389,tcp,high,malware,5,1071,7536,0,1
firewall,external,22,udp,medium,port_scan,4,320,960,1,1
ids,internal,443,tcp,high,malware,1,26,23337,0,1
ids,internal,22,tcp,low,normal,3,269,684,1,0
auth,internal,8080,tcp,medium,bruteforce,25,320,2944,1,1
auth,external,80,tcp,medium,normal,1,900,9278,0,1
ids,external,80,udp,high,malware,2,47,8967,1,1
ids,external,5432,tcp,high,malware,1,1131,34080,0,1
auth,external,443,tcp,high,malware,2,1877,288,1,1
ids,internal,443,tcp,low,normal,1,62,8385,0,0
cloud,external,8080,tcp,low,normal,1,145,1042,1,0
auth,internal,53,tcp,medium,normal,3,755,4077,1,0
ids,external,23,tcp,high,port_scan,5,426,5107,0,1
ids,external,25,tcp,medium,normal,3,312,3559,0,1
cloud,internal,3306,tcp,high,bruteforce,13,217,33,0,1
firewall,external,8080,tcp,high,normal,3,15,3409,0,1
firewall,external,80,tcp,high,bruteforce,27,502,908,0,1
cloud,internal,8080,tcp,medium,normal,1,33,2633,1,0
cloud,internal,443,udp,high,normal,1,319,1450,1,1
cloud,internal,443,tcp,medium,port_scan,1,418,7598,1,1
auth,external,3306,tcp,low,normal,3,586,1553,0,0
firewall,internal,3306,tcp,medium,normal,3,227,2168,1,0
ids,internal,8080,udp,low,normal,1,503,3833,0,0
auth,internal,5432,tcp,low,normal,3,647,3958,0,0
firewall,internal,25,udp,low,normal,3,355,4844,0,0
firewall,external,80,udp,high,port_scan,1,485,3101,0,1
cloud,internal,443,tcp,low,normal,3,205,1768,0,0
ids,external,3306,udp,low,normal,5,755,1194,0,0
firewall,internal,22,tcp,low,normal,1,739,262,0,0
ids,internal,22,tcp,high,malware,2,266,13809,1,1
firewall,internal,443,tcp,high,bruteforce,31,78,2623,0,1
ids,external,53,tcp,low,normal,3,333,16560,0,1
ids,internal,80,tcp,high,normal,4,538,5005,0,1
ids,internal,80,tcp,low,normal,4,170,1171,1,0
auth,internal,25,tcp,low,normal,1,13,1377,0,0
auth,internal,3306,tcp,low,normal,0,241,2217,1,0
firewall,external,22,tcp,medium,normal,3,314,4532,0,1
cloud,external,443,udp,low,normal,1,699,1971,0,1
firewall,internal,21,tcp,low,normal,4,81,421,0,0
ids,internal,22,tcp,high,port_scan,2,651,1327,1,1
cloud,external,3306,tcp,high,bruteforce,32,744,16671,0,1
ids,internal,5432,tcp,medium,normal,1,346,13222,1,0
cloud,internal,80,udp,medium,port_scan,4,457,6807,1,1
ids,internal,3306,tcp,high,bruteforce,33,290,4588,1,1
cloud,internal,8080,tcp,medium,bruteforce,17,4,12750,0,1
ids,internal,3389,tcp,medium,normal,5,259,496,0,0
cloud,internal,8080,udp,medium,normal,3,230,1692,0,0
firewall,internal,3306,udp,low,normal,1,244,429,1,0
cloud,internal,5432,tcp,medium,malware,4,69,25929,0,1
ids,external,3306,tcp,medium,normal,2,309,13297,0,0
firewall,external,25,udp,medium,bruteforce,38,241,2904,0,1
